sequence accession,strain_name,state,subtype,NA_clade,HA_clade
MF289440,A/swine/North_Carolina/A02216061/2017,North Carolina,H3N2,N2.2002B,2010.1
MF375250,A/swine/Illinois/A02216460/2017,Illinois,H1N2,N2.1998A,delta1b
MF375248,A/swine/Iowa/A02216455/2017,Iowa,H3N2,N2.2002B,2010.1
MF375246,A/swine/Minnesota/A02216466/2017,Minnesota,H3N2,N2.2002A,2010.1
MF375254,A/swine/Michigan/A02216465/2017,Michigan,H3N2,N2.2002B,cluster_ivb
MF375244,A/swine/Indiana/A02216464/2017,Indiana,H1N2,N2.2002B,delta1a
MF375242,A/swine/Iowa/A02216459/2017,Iowa,H3N2,N2.2002B,2010.1
MF425625,A/swine/Michigan/A01259077/2017,Michigan,H1N2,N2.2002A,gamma
MF455470,A/swine/Minnesota/A02216467/2017,Minnesota,H3N2,N2.2002A,2010.1
MF471686,A/swine/Oklahoma/A02218157/2017,Oklahoma,H3N2,human_seasonal,2010.2
MF425641,A/swine/Minnesota/A01785267/2017,Minnesota,H3N2,N2.2002B,2010.1
MF445018,A/swine/Ohio/13701/2017,Ohio,H3N2,N2.2002B,cluster_iva
MF455474,A/swine/Nebraska/A02216637/2017,Nebraska,H1N2,N2.2002A,delta1b
MF455488,A/swine/North_Carolina/A02216470/2017,North Carolina,H1N2,N2.2002B,alpha
MF455478,A/swine/Iowa/A02216646/2017,Iowa,H1N2,N2.2002A,delta1b
MF582507,A/swine/North_Carolina/A02216520/2017,North Carolina,H1N2,N2.2002B,alpha
MF471688,A/swine/Oklahoma/A02218158/2017,Oklahoma,H3N2,human_seasonal,2010.2
MF455486,A/swine/Iowa/A02216640/2017,Iowa,H1N2,N2.1998B,delta2
MF455506,A/swine/Iowa/A02216639/2017,Iowa,H1N2,N2.2002B,delta1a
MF508614,A/swine/Minnesota/A01785270/2017,Minnesota,H3N2,N2.2002B,2010.1
MF471677,A/swine/Oklahoma/A02218159/2017,Oklahoma,H3N2,human_seasonal,2010.2
MF673434,A/swine/Iowa/A02216651/2017,Iowa,H1N2,N2.2002A,gamma
MF455468,A/swine/Indiana/A02217290/2017,Indiana,H1N2,N2.2002B,delta1a
MF455500,A/swine/Iowa/A02217289/2017,Iowa,H1N2,N2.1998B,delta2
MF471675,A/swine/Iowa/A02217286/2017,Iowa,H1N2,N2.2002A,delta1a
MF582523,A/swine/North_Carolina/A02217275/2017,North Carolina,H1N2,N2.2002B,alpha
MF582527,A/swine/Iowa/A02216716/2017,Iowa,H1N2,N2.1998B,delta2
MF471671,A/swine/Iowa/A02217287/2017,Iowa,H3N2,N2.2002B,2010.1
MF471683,A/swine/Missouri/A02217292/2017,Missouri,(N2),N2.2002B,cluster_iva
MF673432,A/swine/Iowa/A02217293/2017,Iowa,H1N2,N2.1998B,delta2
MF582529,A/swine/Iowa/A02218162/2017,Iowa,H3N2,N2.2002B,2010.1
MF582541,A/swine/Iowa/A02218164/2017,Iowa,H3N2,N2.2002B,2010.1
MF508612,A/swine/Nebraska/A01785271/2017,Nebraska,H3N2,N2.2002A,cluster_iva
MH277418,A/swine/USA/A01812265/2017,Unknown,H1N2,N2.1998B,delta2
MF613965,A/swine/Iowa/A02218163/2017,Iowa,H3N2,N2.2002B,2010.1
MF582509,A/swine/Iowa/A02218165/2017,Iowa,H1N2,N2.2002A,delta1b
MF673428,A/swine/Pennsylvania/A02218184/2017,Pennsylvania,H3N2,N2.2002A,2010.1
MF582525,A/swine/Iowa/A02218170/2017,Iowa,H3N2,N2.2002B,2010.1
MF582535,A/swine/Iowa/A02218168/2017,Iowa,H3N2,N2.2002A,2010.1
MF582519,A/swine/Iowa/A02218172/2017,Iowa,H1N2,N2.2002B,delta1a
MF582515,A/swine/Iowa/A02218174/2017,Iowa,H1N2,N2.2002B,delta1a
MF582531,A/swine/Iowa/A02218173/2017,Iowa,H3N2,N2.2002B,2010.1
MF613963,A/swine/Ohio/A02218183/2017,Ohio,H3N2,N2.2002A,2010.1
MF488956,A/swine/South_Dakota/A01678497/2017,South Dakota,H1N2,N2.1998B,delta2
MF768427,A/swine/Iowa/A02217969/2017,Iowa,H1N2,N2.1998B,delta2
MF613967,A/swine/Iowa/A02218176/2017,Iowa,H1N2,N2.2002A,delta1a
MF613969,A/swine/Nebraska/A02217400/2017,Nebraska,H3N2,N2.2002B,cluster_iva
MF582505,A/swine/Iowa/A02218177/2017,Iowa,H1N2,N2.2002B,delta1a
MF488958,A/swine/Minnesota/A01678498/2017,Minnesota,H3N2,N2.2002A,2010.1
MF582501,A/swine/North_Carolina/A02217971/2017,North Carolina,H1N2,N2.2002B,alpha
MF582495,A/swine/Nebraska/A01785272/2017,Nebraska,H3N2,N2.2002A,cluster_iva
MF613971,A/swine/North_Carolina/A02218135/2017,North Carolina,H1N2,N2.1998B,delta2
MF768425,A/swine/Pennsylvania/A02218034/2017,Pennsylvania,H1N2,N2.1998B,delta2
MF582491,A/swine/Nebraska/A01785275/2017,Nebraska,H1N2,N2.2002A,gamma
MF613961,A/swine/Illinois/A02218189/2017,Illinois,H1N2,N2.2002B,delta1a
MF582513,A/swine/Iowa/A02218156/2017,Iowa,H3N2,N2.2002B,cluster_iva
MH277467,A/swine/USA/A01812266/2017,Unknown,H1N2,N2.1998B,delta2
MF623914,A/swine/North_Carolina/A02218431/2017,North Carolina,H1N2,N2.1998B,delta2
MF623905,A/swine/Nebraska/A02218433/2017,Nebraska,H1N2,N2.2002A,delta1b
MF765790,A/swine/Nebraska/A02218434/2017,Nebraska,H1N2,N2.2002B,alpha
MF582497,A/swine/North_Carolina/A01785274/2017,North Carolina,H1N2,N2.1998B,delta2
MF623903,A/swine/Iowa/A02218427/2017,Iowa,H3N2,N2.2002B,2010.1
MF582489,A/swine/Nebraska/A01785277/2017,Nebraska,H1N2,N2.2002B,delta1a
MF801571,A/swine/Ohio/A01354299/2017,Ohio,H3N2,N2.2002B,2010.1
MF566113,A/swine/Wisconsin/A01104099/2017,Wisconsin,H3N2,N2.2002B,2010.1
MF623912,A/swine/Iowa/A02218426/2017,Iowa,H1N2,N2.2002B,delta1a
MF801441,A/swine/Ohio/A01354302/2017,Ohio,H3N2,N2.2002B,2010.1
MF664425,A/swine/Oklahoma/A01785279/2017,Oklahoma,H1N2,N2.2002A,delta1a
MF623918,A/swine/North_Carolina/A02218390/2017,North Carolina,H1N2,N2.2002B,alpha
MF623910,A/swine/North_Carolina/A02218432/2017,North Carolina,H1N2,N2.2002B,alpha
MF623916,A/swine/Iowa/A02218429/2017,Iowa,H1N2,N2.2002B,alpha
MF673430,A/swine/North_Carolina/A02218441/2017,North Carolina,H1N2,N2.2002B,alpha
MH277487,A/swine/USA/A01812267/2017,Unknown,H1N2,N2.2002B,delta1a
MF784414,A/swine/Illinois/A02218757/2017,Illinois,H3N2,N2.2002B,2010.1
MF768421,A/swine/Iowa/A02218749/2017,Iowa,H1N2,N2.2002B,delta1a
MF765794,A/swine/Missouri/A02218506/2017,Missouri,H1N2,N2.2002B,delta1a
MF784418,A/swine/Ohio/A02218759/2017,Ohio,H3N2,N2.2002B,2010.1
MF784424,A/swine/Iowa/A02218753/2017,Iowa,H3N2,N2.2002B,2010.1
MF599465,A/swine/Kansas/A01378028/2017,Kansas,H3N2,N2.2002B,cluster_ivb
MF768429,A/swine/North_Carolina/A02218550/2017,North Carolina,H3N2,N2.2002B,cluster_ivb
MF784422,A/swine/Iowa/A02218752/2017,Iowa,H1N2,N2.2002B,delta1a
MF784416,A/swine/Iowa/A02218754/2017,Iowa,H3N2,N2.2002A,2010.1
MF920409,A/swine/Missouri/A02218638/2017,Missouri,H1N2,N2.2002B,delta1b
MF768419,A/swine/Indiana/A02218760/2017,Indiana,H1N2,N2.1998B,delta2
MF920405,A/swine/Iowa/A02219543/2017,Iowa,H3N2,N2.2002B,2010.1
MF801513,A/swine/Ohio/A01354314/2017,Ohio,H3N2,N2.2002B,2010.1
MF801469,A/swine/Ohio/A01354315/2017,Ohio,H3N2,N2.2002B,2010.1
MF784428,A/swine/Iowa/A02218762/2017,Iowa,H3N2,N2.2002B,2010.1
MF920411,A/swine/Iowa/A02219544/2017,Iowa,H3N2,N2.2002A,2010.1
MF920417,A/swine/Iowa/A02219545/2017,Iowa,H3N2,N2.2002A,2010.1
MF784426,A/swine/North_Carolina/A02218906/2017,North Carolina,H1N2,N2.1998B,delta2
MF784412,A/swine/North_Carolina/A02218894/2017,North Carolina,H1N2,N2.1998B,delta2
MF920403,A/swine/Minnesota/A02219546/2017,Minnesota,H1N2,N2.2002B,delta1a
MF872674,A/swine/Ohio/A01354316/2017,Ohio,H1N2,N2.2002B,delta2
MF872666,A/swine/Ohio/A01354319/2017,Ohio,H1N2,N2.2002B,delta2
MF920407,A/swine/Oklahoma/A02219505/2017,Oklahoma,H1N2,N2.2002B,delta1b
MF920413,A/swine/Iowa/A02219578/2017,Iowa,H1N2,N2.2002A,delta1b
MF962623,A/swine/Iowa/A02219792/2017,Iowa,H1N2,N2.2002B,delta1a
MF996849,A/swine/Iowa/A02219790/2017,Iowa,H1N2,N2.1998B,delta2
MF962617,A/swine/Iowa/A02219789/2017,Iowa,H3N2,N2.2002B,2010.1
MF996847,A/swine/Illinois/A02219794/2017,Illinois,H1N2,N2.2002B,delta1a
MF962625,A/swine/Iowa/A02219788/2017,Iowa,H3N2,N2.2002B,2010.1
MF962613,A/swine/Iowa/A02219784/2017,Iowa,H3N2,N2.2002A,2010.1
MG198984,A/swine/Iowa/A02219786/2017,Iowa,H1N2,N2.2002A,delta1b
MF962611,A/swine/Iowa/A02219787/2017,Iowa,H3N2,N2.2002B,2010.1
MF962627,A/swine/Iowa/A02219785/2017,Iowa,H1N2,N2.2002B,delta1a
MF962615,A/swine/North_Carolina/A02219753/2017,North Carolina,H3N2,N2.1998B,cluster_ivb
MG210344,A/swine/Iowa/A02221528/2017,Iowa,H3N2,N2.2002A,2010.1
MG198974,A/swine/Nebraska/A02221499/2017,Nebraska,H3N2,N2.2002B,cluster_iva
MF959697,A/swine/South_Dakota/A01678503/2017,South Dakota,H1N2,N2.2002A,delta1b
MG198958,A/swine/Minnesota/A02221495/2017,Minnesota,H3N2,N2.2002A,2010.1
MG210356,A/swine/Iowa/A02221509/2017,Iowa,H1N2,N2.1998B,delta2
MF996851,A/swine/North_Carolina/A02221028/2017,North Carolina,H1N2,N2.1998B,delta2
MG279531,A/swine/Iowa/A02221513/2017,Iowa,H3N2,N2.2002B,2010.1
MF973233,A/swine/Kansas/A01785288/2017,Kansas,H1N2,N2.2002B,delta1a
MG241372,A/swine/North_Carolina/A02221498/2017,North Carolina,H1N2,N2.2002B,alpha
MG241362,A/swine/Iowa/A02221488/2017,Iowa,H1N2,N2.2002A,delta1a
MG192089,A/swine/Nebraska/A01785290/2017,Nebraska,H1N2,N2.2002B,delta1a
MG021138,A/swine/Illinois/A02221268/2017,Illinois,H1N2,N2.1998B,delta2
MG198980,A/swine/Iowa/A02221491/2017,Iowa,H1N2,N2.2002B,delta1a
MG210346,A/swine/Iowa/A02221492/2017,Iowa,H1N2,N2.2002B,delta1a
MG021148,A/swine/Minnesota/A01785293/2017,Minnesota,H1N2,N2.1998B,delta2
MG198964,A/swine/Iowa/A02221363/2017,Iowa,H1N2,N2.2002A,delta1b
MG198988,A/swine/Iowa/A02221493/2017,Iowa,H1N2,N2.2002B,delta1a
MG021146,A/swine/Minnesota/A01785291/2017,Minnesota,H1N2,N2.1998B,delta2
MG210364,A/swine/Missouri/A02221494/2017,Missouri,H1N2,N2.1998B,delta2
MG021144,A/swine/North_Carolina/A01785294/2017,North Carolina,H3N2,N2.2002B,2010.1
MG021150,A/swine/North_Carolina/A01785295_/2017,North Carolina,H3N2,N2.2002B,2010.1
MG198962,A/swine/North_Carolina/A02221364/2017,North Carolina,H1N2,N2.2002B,alpha
MG198970,A/swine/North_Carolina/A02221365/2017,North Carolina,H1N2,N2.2002B,alpha
MG198978,A/swine/Oklahoma/A02221360/2017,Oklahoma,H1N2,N2.2002B,delta1a
MG241356,A/swine/Texas/A02221677/2017,Texas,H1N2,N2.2002B,alpha
MG193842,A/swine/Maryland/A01764002/2017,Maryland,H3N2,N2.2002B,2010.1
MG193880,A/swine/Maryland/A01764005/2017,Maryland,H3N2,N2.2002B,2010.1
MG279535,A/swine/Iowa/A02221870/2017,Iowa,H3N2,N2.2002B,2010.1
MG021142,A/swine/Minnesota/A01785296/2017,Minnesota,H1N2,N2.2002B,delta1a
MG210362,A/swine/Ohio/A02221519/2017,Ohio,H3N2,N2.2002A,2010.1
MG586832,A/swine/USA/A01812269/2017,Unknown,H1N2,N2.2002B,alpha
MG241376,A/swine/Iowa/A02221527/2017,Iowa,H1N2,N2.2002A,delta1b
MG241358,A/swine/Iowa/A02221871/2017,Iowa,H1N2,N2.2002A,delta1b
MG241364,A/swine/Iowa/A02221872/2017,Iowa,H3N2,N2.2002B,2010.1
MG279547,A/swine/Iowa/A02221873/2017,Iowa,H1N2,N2.2002B,delta1a
MG210354,A/swine/North_Carolina/A02221556/2017,North Carolina,H1N2,N2.1998B,delta2
MG241378,A/swine/Illinois/A02221733/2017,Illinois,H1N2,N2.2002B,delta1a
MG241370,A/swine/Illinois/A02221737/2017,Illinois,H1N2,N2.2002B,delta1a
MG241382,A/swine/Illinois/A02221875/2017,Illinois,H1N2,N2.2002B,alpha
MG241368,A/swine/Iowa/A02221874/2017,Iowa,H1N2,N2.2002B,delta1a
MG241380,A/swine/Minnesota/A02221876/2017,Minnesota,H3N2,N2.2002A,2010.1
MG132042,A/swine/Texas/A01785298/2017,Texas,H3N2,N2.2002B,cluster_iva
MG041607,A/swine/South_Dakota/A01678506/2017,South Dakota,H1N2,N2.2002A,delta1b
MG193888,A/swine/Maryland/A01764022/2017,Maryland,H3N2,N2.2002B,2010.1
MG193804,A/swine/Maryland/A01764024/2017,Maryland,H3N2,N2.2002B,2010.1
MG132040,A/swine/Texas/A01785299/2017,Texas,H3N2,N2.2002B,cluster_iva
MG214966,A/swine/Minnesota/A01785300/2017,Minnesota,H3N2,N2.2002B,2010.1
MG266072,A/swine/Minnesota/A01785302/2017,Minnesota,H1N2,N2.2002A,delta1b
MG214964,A/swine/Minnesota/A01785303/2017,Minnesota,H1N2,N2.2002B,delta1a
MG720226,A/swine/Oklahoma/65260/2017,Oklahoma,H3N2,human_seasonal,2010.2
MG547982,A/swine/Iowa/A02221865/2017,Iowa,H1N2,N2.2002A,delta1a
MG650663,A/swine/Iowa/A02221866/2017,Iowa,H1N2,N2.2002A,delta1a
MG279545,A/swine/North_Carolina/A02223098/2017,North Carolina,H1N2,N2.2002B,alpha
MG279539,A/swine/North_Carolina/A02223101/2017,North Carolina,H1N2,N2.1998B,delta2
MG720218,A/swine/Oklahoma/65980/2017,Oklahoma,H3N2,human_seasonal,2010.2
MG266080,A/swine/Colorado/A01785307/2017,Colorado,H1N2,N2.1998A,delta1a
MG494739,A/swine/Iowa/A02223245/2017,Iowa,H1N2,N2.2002B,delta1a
MG266076,A/swine/North_Carolina/A01785309/2017,North Carolina,H1N2,N2.1998B,delta2
MG266002,A/swine/South_Dakota/A01678510/2017,South Dakota,H1N2,N2.2002B,alpha
MG494743,A/swine/South_Dakota/A02223247/2017,South Dakota,H1N2,N2.2002B,alpha
MG279541,A/swine/Illinois/A02223243/2017,Illinois,H1N2,N2.2002B,delta1a
MG494759,A/swine/North_Carolina/A02223210/2017,North Carolina,H3N2,N2.2002B,2010.1
MG548006,A/swine/Illinois/A02223465/2017,Illinois,H1N2,N2.2002B,delta1a
MG494751,A/swine/Iowa/A02223463/2017,Iowa,H1N2,N2.2002B,alpha
MG494731,A/swine/Iowa/A02223464/2017,Iowa,H1N2,N2.2002B,delta1a
MG494755,A/swine/Nebraska/A02223209/2017,Nebraska,H1N2,N2.1998B,delta2
MG494749,A/swine/North_Carolina/A02223282/2017,North Carolina,H1N2,N2.2002B,alpha
MG548014,A/swine/North_Carolina/A02223469/2017,North Carolina,H1N2,N2.2002B,alpha
MG548032,A/swine/Illinois/A02223278/2017,Illinois,H1N2,N2.2002B,delta1a
MG494737,A/swine/Iowa/A02223222/2017,Iowa,H3N2,N2.2002B,2010.1
MG812166,A/swine/Minnesota/A01678514/2017,Minnesota,H3N2,N2.2002A,2010.1
MG460366,A/swine/Minnesota/A01785310/2017,Minnesota,H3N2,N2.2002B,cluster_ivb
MG494747,A/swine/North_Carolina/A02223299/2017,North Carolina,H3N2,N2.2002B,cluster_ivb
MG494735,A/swine/Iowa/A02223471/2017,Iowa,H1N2,N2.1998B,delta2
MG366892,A/swine/Minnesota/A01785312/2017,Minnesota,H1N2,N2.2002A,delta1b
MG669426,A/swine/Pennsylvania/A02223370/2017,Pennsylvania,H1N2,N2.1998B,delta2
MG548022,A/swine/Illinois/A02223473/2017,Illinois,H1N2,N2.2002B,alpha
MG366886,A/swine/Minnesota/A01785314/2017,Minnesota,H1N2,N2.2002A,delta1a
MG548036,A/swine/Illinois/A02134230/2017,Illinois,H1N2,N2.2002B,alpha
MG547986,A/swine/Minnesota/A02134227/2017,Minnesota,H1N2,N2.2002B,delta1a
MG460354,A/swine/Minnesota/A01785316/2017,Minnesota,H3N2,N2.2002A,2010.1
MG548020,A/swine/Ohio/A02134225/2017,Ohio,H3N2,N2.2002B,cluster_iva
MG548004,A/swine/Illinois/A02134232/2017,Illinois,H1N2,N2.2002B,delta1a
MG548034,A/swine/Iowa/A02134222/2017,Iowa,H1N2,N2.2002B,alpha
MG547984,A/swine/Iowa/A02134228/2017,Iowa,H3N2,N2.2002B,2010.1
MG548010,A/swine/Iowa/A02134229/2017,Iowa,H1N2,N2.2002A,delta1b
MG548002,A/swine/Iowa/A02134231/2017,Iowa,H3N2,N2.2002B,2010.1
MG548012,A/swine/Iowa/A02134233/2017,Iowa,H1N2,N2.2002B,alpha
MG460362,A/swine/Minnesota/A01785319/2017,Minnesota,H1N2,N2.2002A,delta1b
MG460352,A/swine/Minnesota/A01785322/2017,Minnesota,H3N2,N2.2002B,cluster_iva
MG548028,A/swine/Illinois/A02134235/2017,Illinois,H3N2,N2.2002B,2010.1
MG547990,A/swine/Iowa/A02134236/2017,Iowa,H1N2,N2.2002A,delta1a
MG547992,A/swine/Iowa/A02134240/2017,Iowa,H3N2,N2.2002B,2010.1
MG575465,A/swine/USA/A01812271/2017,Unknown,H1N2,N2.2002B,delta1a
MG548030,A/swine/Iowa/A02134239/2017,Iowa,H3N2,N2.2002B,2010.1
MG520676,A/swine/Minnesota/A01785324/2017,Minnesota,H1N2,N2.2002B,delta1a
MG650673,A/swine/Minnesota/A02134995/2017,Minnesota,H1N2,N2.2002A,delta1b
MG548016,A/swine/Nebraska/A02134238/2017,Nebraska,H1N2,N2.2002B,alpha
MG650675,A/swine/Iowa/A02134999/2017,Iowa,H1N2,N2.2002B,delta1a
MG548026,A/swine/Iowa/A02134242/2017,Iowa,H3N2,N2.2002B,cluster_iva
MG650671,A/swine/Iowa/A02134993/2017,Iowa,H3N2,N2.2002B,2010.1
MG650667,A/swine/Iowa/A02134996/2017,Iowa,H3N2,N2.2002B,2010.1
MG460360,A/swine/Minnesota/A01785326/2017,Minnesota,H3N2,N2.2002B,2010.1
MG520682,A/swine/Nebraska/A01785325/2017,Nebraska,H3N2,N2.2002A,cluster_iva
MG669446,A/swine/Iowa/A02134994/2017,Iowa,H3N2,N2.2002B,2010.1
MG520684,A/swine/North_Carolina/A01785332/2017,North Carolina,H1N2,N2.1998B,delta2
MG650655,A/swine/North_Carolina/A02134197/2017,North Carolina,H1N2,N2.2002B,alpha
MG650665,A/swine/Iowa/A02134998/2017,Iowa,H3N2,N2.2002B,2010.1
MG650681,A/swine/Minnesota/A01785328/2017,Minnesota,H3N2,N2.2002B,2010.1
MG520678,A/swine/Nebraska/A01785331/2017,Nebraska,H3N2,N2.2002A,cluster_iva
MG650657,A/swine/North_Carolina/A02134328/2017,North Carolina,H1N2,N2.1998B,delta2
MG650661,A/swine/Illinois/A02134931/2017,Illinois,H1N2,N2.1998B,delta2
MG650669,A/swine/Iowa/A02135000/2017,Iowa,H3N2,N2.2002A,2010.1
MG669434,A/swine/Iowa/A02135002/2017,Iowa,H1N2,N2.2002A,delta1a
MG520672,A/swine/Oklahoma/A01785330/2017,Oklahoma,H1N2,N2.2002B,delta1a
MG650651,A/swine/Illinois/A02134971/2017,Illinois,H1N2,N2.2002B,delta1a
MG520680,A/swine/Minnesota/A01785333/2017,Minnesota,H3N2,N2.2002B,2010.1
MG928433,A/swine/Florida/UF-1/2017,Florida,H3N2,human_seasonal,2010.2
MG822872,A/swine/USA/A01812272/2017,Unknown,H1N2,N2.2002B,alpha
MG669432,A/swine/Iowa/A02135004/2017,Iowa,H3N2,N2.2002B,2010.1
MG650689,A/swine/North_Carolina/A01785335/2017,North Carolina,H3N2,N2.2002B,2010.1
MG650683,A/swine/North_Carolina/A01785341/2017,North Carolina,H3N2,N2.2002B,2010.1
MG520674,A/swine/Iowa/A01785336/2017,Iowa,H1N2,N2.2002B,delta1a
MG669436,A/swine/Iowa/A02135101/2017,Iowa,H1N2,N2.2002B,delta1a
MG669448,A/swine/Iowa/A02135745/2017,Iowa,H1N2,N2.2002B,delta1a
MG669450,A/swine/Texas/A02135700/2017,Texas,H1N2,N2.2002B,alpha
MG669424,A/swine/Texas/A02135752/2017,Texas,H1N2,N2.2002B,alpha
MG663060,A/swine/Missouri/A02135876/2017,Missouri,H3N2,N2.2002A,2010.1
MG662712,A/swine/North_Carolina/A01785340/2017,North Carolina,H3N2,N2.2002B,2010.1
MG681986,A/swine/Illinois/A02135882/2017,Illinois,H1N2,N2.2002B,alpha
MG681988,A/swine/Missouri/A02135750/2017,Missouri,H3N2,N2.2002B,2010.1
MG669462,A/swine/Iowa/A02135705/2017,Iowa,H3N2,N2.2002A,2010.1
MG663084,A/swine/Iowa/A02135875/2017,Iowa,H3N2,N2.2002B,2010.1
MG663070,A/swine/Minnesota/A02135883/2017,Minnesota,H1N2,N2.2002B,delta1a
MG682006,A/swine/Minnesota/A02135884/2017,Minnesota,H1N2,N2.2002B,delta1a
MG681998,A/swine/Indiana/A02135878/2017,Indiana,H1N2,N2.1998B,delta2
MG663080,A/swine/Iowa/A02135879/2017,Iowa,H3N2,N2.2002A,2010.1
MG663078,A/swine/Iowa/A02135880/2017,Iowa,H3N2,N2.2002B,2010.1
MG650691,A/swine/Minnesota/A01785345/2017,Minnesota,H3N2,N2.2002B,2010.1
MG663068,A/swine/North_Carolina/A02135886/2017,North Carolina,H3N2,N2.2002B,cluster_iva
MG669452,A/swine/Pennsylvania/A02135726/2017,Pennsylvania,H1N2,N2.1998B,delta2
MG662716,A/swine/Minnesota/A01785347/2017,Minnesota,H1N2,N2.2002B,delta1a
MG669353,A/swine/Nebraska/A01678515/2017,Nebraska,H1N2,N2.2002B,delta1a
MG663074,A/swine/Illinois/A02135885/2017,Illinois,H1N2,N2.2002B,delta1a
MG772813,A/swine/USA/A01812273/2017,Unknown,H1N2,N2.2002B,delta1a
MG681984,A/swine/Iowa/A02136744/2017,Iowa,H1N2,N2.2002B,delta1a
MG982494,A/swine/Ohio/OH-17-25426/2017,Ohio,H3N2,N2.2002B,2010.1
MG669355,A/swine/Iowa/A01678516/2017,Iowa,H1N2,N2.1998B,delta2
MG681962,A/swine/Iowa/A02136754/2017,Iowa,H1N2,N2.2002A,delta1b
MG682004,A/swine/Missouri/A02136762/2017,Missouri,H3N2,N2.2002B,2010.1
MG681996,A/swine/Nebraska/A02136759/2017,Nebraska,H3N2,N2.2002B,2010.1
MG681982,A/swine/Ohio/A02136764/2017,Ohio,H3N2,N2.2002A,2010.1
MG870283,A/swine/Pennsylvania/A02135889/2017,Pennsylvania,H1N2,N2.1998B,delta2
MG662714,A/swine/Minnesota/A01785352/2017,Minnesota,H1N2,N2.2002B,alpha
MG739520,A/swine/Missouri/A01785353/2017,Missouri,H3N2,N2.2002A,2010.1
MG720202,A/swine/Oklahoma/A02135941/2017,Oklahoma,H1N2,N2.2002A,delta1a
MG682010,A/swine/Oklahoma/A02136757/2017,Oklahoma,H1N2,N2.2002B,delta1a
MG682000,A/swine/Iowa/A02136751/2017,Iowa,H1N2,N2.1998B,delta2
MG707002,A/swine/Minnesota/A01785355/2017,Minnesota,H3N2,N2.2002A,2010.1
MG681968,A/swine/Minnesota/A02136750/2017,Minnesota,H1N2,N2.2002B,alpha
MG720196,A/swine/Nebraska/A02136758/2017,Nebraska,H1N2,N2.2002B,delta1b
MG681978,A/swine/Oklahoma/A02136057/2017,Oklahoma,H1N2,N2.2002B,delta1a
MG682002,A/swine/Illinois/A02136749/2017,Illinois,H1N2,N2.2002B,delta1a
MG681964,A/swine/Iowa/A02136086/2017,Iowa,H1N2,N2.2002B,alpha
MG681992,A/swine/Iowa/A02136687/2017,Iowa,H3N2,N2.2002A,2010.1
MH120413,A/swine/Nebraska/A01785473/2017,Nebraska,H1N2,N2.2002B,delta1a
MG720198,A/swine/Ohio/A02136752/2017,Ohio,H1N2,N2.2002B,delta1a
MG763254,A/swine/Indiana/A02136747/2017,Indiana,H1N2,N2.1998B,delta2
MG681994,A/swine/Iowa/A02136685/2017,Iowa,H3N2,N2.2002B,2010.1
MG681970,A/swine/Iowa/A02136748/2017,Iowa,H3N2,N2.2002B,cluster_iva
MG720190,A/swine/Illinois/A02136719/2017,Illinois,H3N2,N2.2002B,2010.1
MG870281,A/swine/Iowa/A02136711/2017,Iowa,H1N2,N2.1998B,delta2
MG763242,A/swine/Iowa/A02136834/2017,Iowa,H1N2,N2.2002B,alpha
MG870273,A/swine/Iowa/A02136840/2017,Iowa,H1N2,N2.1998B,delta2
MG674733,A/swine/Minnesota/A01785361/2017,Minnesota,H3N2,N2.2002B,2010.1
MG720186,A/swine/Minnesota/A02136839/2017,Minnesota,H3N2,N2.2002B,2010.1
MG763262,A/swine/Missouri/A02136826/2017,Missouri,H1N2,N2.2002A,delta1a
MG674729,A/swine/North_Carolina/A01785360/2017,North Carolina,H3N2,N2.2002B,2010.1
MG840805,A/swine/USA/A01812274/2017,Unknown,H1N2,N2.2002B,delta1a
MG720210,A/swine/Indiana/A02136870/2017,Indiana,H1N2,N2.2002B,delta1a
MG674731,A/swine/Kansas/A01785362/2017,Kansas,H1N2,N2.2002B,alpha
MG763238,A/swine/Missouri/A02136832/2017,Missouri,H3N2,N2.2002B,cluster_ivb
MG982509,A/swine/Ohio/OH-17-26330/2017,Ohio,H3N2,N2.2002A,2010.1
MG739524,A/swine/Minnesota/A01785363/2017,Minnesota,H3N2,N2.2002B,2010.1
MG674727,A/swine/North_Carolina/A01785371/2017,North Carolina,H1N2,N2.1998B,delta2
MG720208,A/swine/Illinois/A02136890/2017,Illinois,H1N2,N2.2002B,alpha
MG763256,A/swine/Iowa/A02137136/2017,Iowa,H1N2,N2.2002A,delta1b
MG763264,A/swine/Iowa/A02137183/2017,Iowa,H1N2,N2.2002A,delta1b
MG775681,A/swine/Nebraska/A02137140/2017,Nebraska,H3N2,N2.2002B,2010.1
MG763272,A/swine/Iowa/A02137141/2017,Iowa,H3N2,N2.2002B,2010.1
MG784984,A/swine/South_Dakota/A01785372/2017,South Dakota,H1N2,N2.2002A,delta1b
MG706998,A/swine/South_Dakota/A01785373/2017,South Dakota,H3N2,N2.2002B,cluster_iva
MG763250,A/swine/Indiana/A02137116/2017,Indiana,H1N2,N2.2002B,delta1a
MG763288,A/swine/Missouri/A02137143/2017,Missouri,H3N2,N2.2002A,2010.1
MG763252,A/swine/North_Carolina/A02137106/2017,North Carolina,H1N2,N2.1998B,delta2
MG822913,A/swine/Iowa/A02138480/2017,Iowa,H1N2,N2.1998B,delta2
MG784988,A/swine/South_Dakota/A01785375/2017,South Dakota,H3N2,N2.2002B,cluster_iva
